# 1582
0.070000 0.100000 0.100000 
0.150000 0.520000 0.550000 0.400000 
0.180000 0.660000 1.030000 0.880000 0.400000 
0.180000 0.330000 0.700000 0.550000 0.400000 
0.180000 0.660000 1.510000 0.640000 0.088000 
0.540000 0.720000 0.743200 0.025300 0.015400 
0.108000 0.027600 0.072100 0.074200 0.070000 
0.036000 0.159000 0.502000 0.550000 0.400000 
0.180000 0.660000 1.510000 0.640000 0.088000 
0.540000 0.720000 0.743200 0.025300 0.015400 
0.108000 0.027600 0.072100 0.074200 0.070000 
0.036000 0.159000 0.502000 0.550000 0.400000 
0.180000 0.660000 1.030000 0.880000 0.400000 
0.180000 0.330000 0.700000 0.550000 0.400000 
0.180000 0.660000 1.510000 0.640000 0.088000 
0.540000 0.720000 0.743200 0.025300 0.015400 
0.108000 0.027600 0.072100 0.074200 0.070000 
0.036000 0.159000 0.502000 0.550000 0.400000 
0.180000 0.660000 1.510000 0.640000 0.088000 
0.540000 0.720000 0.743200 0.025300 0.015400 
0.108000 0.027600 0.072100 0.074200 0.070000 
0.036000 0.159000 0.502000 0.550000 0.400000 
0.180000 0.660000 1.030000 0.880000 0.400000 
0.180000 0.330000 0.700000 0.550000 0.400000 
0.180000 0.660000 1.510000 0.640000 0.088000 
0.540000 0.720000 0.743200 0.025300 0.015400 
0.108000 0.027600 0.072100 0.074200 0.070000 
0.036000 0.159000 0.502000 0.550000 0.400000 
0.180000 0.660000 1.510000 0.640000 0.088000 
0.540000 0.720000 0.743200 0.025300 0.015400 
0.108000 0.027600 0.072100 0.074200 0.070000 
0.036000 0.159000 0.502000 0.550000 0.400000 
0.180000 0.660000 1.030000 0.880000 0.400000 
0.180000 0.330000 0.700000 0.550000 0.400000 
0.180000 0.660000 1.510000 0.640000 0.088000 
0.540000 0.720000 0.743200 0.025300 0.015400 
0.108000 0.027600 0.072100 0.074200 0.070000 
0.036000 0.159000 0.502000 0.550000 0.400000 
0.180000 0.660000 1.510000 0.640000 0.088000 
0.540000 0.720000 0.743200 0.025300 0.015400 
0.108000 0.027600 0.072100 0.074200 0.070000 
0.036000 0.159000 0.502000 0.550000 0.400000 
0.180000 0.660000 1.030000 0.880000 0.400000 
0.180000 0.330000 0.700000 0.550000 0.400000 
0.180000 0.660000 1.510000 0.640000 0.088000 
0.540000 0.720000 0.743200 0.025300 0.015400 
0.108000 0.027600 0.072100 0.074200 0.070000 
0.036000 0.159000 0.502000 0.550000 0.400000 
0.180000 0.660000 1.510000 0.640000 0.088000 
0.540000 0.720000 0.743200 0.025300 0.015400 
0.108000 0.027600 0.072100 0.074200 0.070000 
0.036000 0.159000 0.502000 0.550000 0.400000 
0.180000 0.660000 1.030000 0.880000 0.400000 
0.180000 0.330000 0.700000 0.550000 0.400000 
0.180000 0.660000 1.510000 0.640000 0.088000 
0.540000 0.720000 0.743200 0.025300 0.015400 
0.108000 0.027600 0.072100 0.074200 0.070000 
0.036000 0.159000 0.502000 0.550000 0.400000 
0.180000 0.660000 1.510000 0.640000 0.088000 
0.540000 0.720000 0.743200 0.025300 0.015400 
0.108000 0.027600 0.072100 0.074200 0.070000 
0.036000 0.159000 0.502000 0.550000 0.400000 
0.180000 0.660000 1.030000 0.880000 0.400000 
0.180000 0.330000 0.700000 0.550000 0.400000 
0.180000 0.660000 1.510000 0.640000 0.088000 
0.540000 0.720000 0.743200 0.025300 0.015400 
0.108000 0.027600 0.072100 0.074200 0.070000 
0.036000 0.159000 0.502000 0.550000 0.400000 
0.180000 0.660000 1.510000 0.640000 0.088000 
0.540000 0.720000 0.743200 0.025300 0.015400 
0.108000 0.027600 0.072100 0.074200 0.070000 
0.036000 0.159000 0.502000 0.550000 0.400000 
0.180000 0.660000 1.030000 0.880000 0.400000 
0.180000 0.330000 0.700000 0.550000 0.400000 
0.180000 0.660000 1.510000 0.640000 0.088000 
0.540000 0.720000 0.743200 0.025300 0.015400 
0.108000 0.027600 0.072100 0.074200 0.070000 
0.036000 0.159000 0.502000 0.550000 0.400000 
0.180000 0.660000 1.510000 0.640000 0.088000 
0.540000 0.720000 0.743200 0.025300 0.015400 
0.108000 0.027600 0.072100 0.074200 0.070000 
0.036000 0.159000 0.502000 0.550000 0.400000 
0.180000 0.660000 1.030000 0.880000 0.400000 
0.180000 0.330000 0.700000 0.550000 0.400000 
0.180000 0.660000 1.510000 0.640000 0.088000 
0.540000 0.720000 0.743200 0.025300 0.015400 
0.108000 0.027600 0.072100 0.074200 0.070000 
0.036000 0.159000 0.502000 0.550000 0.400000 
0.180000 0.660000 1.510000 0.640000 0.088000 
0.540000 0.720000 0.743200 0.025300 0.015400 
0.108000 0.027600 0.072100 0.074200 0.070000 
0.036000 0.159000 0.502000 0.550000 0.400000 
0.180000 0.660000 1.030000 0.880000 0.400000 
